candidate_id,base_source,random_seed,count_per_type,particle_count,normalized_action,physical_action,peak_lifted_particle_count,peak_lifted_particle_ratio,lifted_particle_count,spill_count,spill_count_ratio,final_reward
560,training_best_safe_additional_300,2010564173,20,60,"[0.45435690879821755, 0.9621444940567017, 0.12606072425842219, -1.0, 0.5074045658111572, -0.12838584184646618]","[0.8646984037745732, 0.6915246686105434, 0.4363030362129211, 0.0, 0.5761106848716736, 0.6679035395383834]",1,0.0166666666666666,5,2,0.0333333333333333,0.1510376356985331
585,training_best_safe_additional_300,1652212343,30,90,"[1.0, 1.0, -0.8841581940650936, -0.6141717433929446, 0.570915937423706, -0.25231444835662853]","[0.9599310885968813, 0.6981317007977318, 0.3857920902967453, 0.0404038405501361, 0.5856373906135559, 0.6369213879108429]",4,0.0444444444444444,8,2,0.0222222222222222,1.0048921003079414
389,training_best_safe_additional_300,220822019,40,120,"[0.9081804752349862, 0.6977311372756958, -0.31922626495361384, -1.0, 0.14983296394348145, 0.2928483486175537]","[0.9439055583492216, 0.6453758319897531, 0.4140386867523193, 0.0, 0.5224749445915222, 0.7732120871543884]",2,0.0166666666666666,5,6,0.05,-0.3119479597458605
